,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
6539,8129,Kuragehime,Princess Jellyfish,海月姫,Kuragehime,https://myanimelist.cdn-dena.com/images/anime/3/24865.jpg,TV,Manga,11,Finished Airing,False,"Oct 15, 2010 to Dec 31, 2010","{'from': '2010-10-15', 'to': '2010-12-31'}",22 min. per ep.,PG-13 - Teens 13 or older,8.21,68539,304.0,624,134113,3094,"Kuragehime was simulcast on FUNimation in Fall 2010, and became available as a DVD and Blu-ray release the following year. Kuragehime was also briefly available for streaming on Netflix as Princess Jellyfish.",Fall 2010,Fridays at 00:45 (JST),"{'Adaptation': [{'mal_id': 17904, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17904/Kuragehime', 'title': 'Kuragehime'}], 'Side story': [{'mal_id': 9754, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9754/Kuragehime__Eiyuu_Retsuden☆', 'title': 'Kuragehime: Eiyuu Retsuden☆'}], 'Other': [{'mal_id': 10391, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10391/Kuragehime__Soreike_Amars_Tankentai', 'title': 'Kuragehime: Soreike! Amars Tankentai'}]}","Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment, Sakura Create, Fuji Pacific Music Publishing",Funimation,Brain&#039;s Base,"Slice of Life, Comedy, Josei","['""Koko Dake no Hanashi (ここだけの話)"" by Chatmonchy']","['""Kimi no Kirei ni Kizuite Okure (きみのきれいに気づいておくれ)"" by Sambomaster']"
6553,918,Gintama,Gintama,銀魂,"Gin Tama, Silver Soul, Yorinuki Gintama-san",https://myanimelist.cdn-dena.com/images/anime/2/10038.jpg,TV,Manga,201,Finished Airing,False,"Apr 4, 2006 to Mar 25, 2010","{'from': '2006-04-04', 'to': '2010-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,9.01,141830,15.0,95,459031,33781,"Several games based on Gintama have been released on a variety of platforms such as the Sony PlayStation 2, PlayStation Portable and Nintendo DS. Characters from the series have also appeared in Weekly Shounen Jump&#039;s crossover titles such as Jump Super Stars and Jump Ultimate Stars.The series received high-definition reruns of older episodes by TV Tokyo from April 5, 2010 till March 28, 2011 under the name Yorinuki Gintama-san which included 51 selected episodes as well as 4 new Openings and Endings. Sentai Filmworks licensed and released only the first 49 episodes of Gintama, along with the first movie; in 2016, Crunchyroll gained the license and plans to release the entire series dubbed/subtitled at some point in the future.",Spring 2006,Thursdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 44, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44/Gintama', 'title': 'Gintama'}], 'Side story': [{'mal_id': 2951, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saiyo_ga_Kanjin_nano_de_Tasho_Senobisuru_Kurai_ga_Choudoyoi', 'title': 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi'}, {'mal_id': 6945, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan', 'title': 'Gintama: Shiroyasha Koutan'}, {'mal_id': 10643, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10643/Gintama__Dai_Hanseikai', 'title': 'Gintama: Dai Hanseikai'}, {'mal_id': 25313, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25313/Gintama__Futon_ni_Haitte_kara_Buki_Nokoshi_ni_Kizuite_Neru_ni_Nerenai_Toki_mo_Aru', 'title': 'Gintama&#039;: Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru'}, {'mal_id': 32122, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32122/Gintama°__Umai-mono_wa_Atomawashi_ni_Suru_to_Yokodorisareru_kara_Yappari_Saki_ni_Kue', 'title': 'Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue'}], 'Alternative version': [{'mal_id': 7472, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen', 'title': 'Gintama Movie 1: Shinyaku Benizakura-hen'}, {'mal_id': 21899, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D', 'title': 'Gintama: Yorinuki Gintama-san on Theater 2D'}], 'Sequel': [{'mal_id': 9969, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9969/Gintama', 'title': 'Gintama&#039;'}], 'Other': [{'mal_id': 15335, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare', 'title': 'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare'}, {'mal_id': 19261, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19261/Gintama_x_Mameshiba', 'title': 'Gintama x Mameshiba'}]}","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","['#01: ""Pray"" by Tommy heavenly6 (eps 1-24)', '#02: ""Tooi Nioi (遠い匂い)"" by YO-KING (eps 25-49)', '#03: ""Giniro no Sora (銀色の空)"" by redballoon (eps 50-75)', '#04: ""Kasanaru Kage (かさなる影)"" by Hearts Grow (eps 76-99)', '#05: ""DONTEN (曇天)"" by DOES (eps 100-125)', '#06: ""Anata MAGIC (アナタMAGIC)"" by monobright (eps 126-150)', '#07: ""Stairway Generation"" by Base Ball Bear (eps 151-176)', '#08: ""Light Infection"" by Prague (eps 177-201)', '#R1: ""Bakuchi Dancer (バクチ・ダンサー)"" by DOES (Yorinuki Gintama-san eps 1-9)', '#R2: ""Kaze no Gotoku (風のごとく)"" by Inoue Joe (Yorinuki Gintama-san eps 10-26)', '#R3: ""Kanousei Girl (可能性ガール)"" by Chiaki Kuriyama (Yorinuki Gintama-san eps 27-39)', '#R4: ""Katoniago (カートニアゴ )"" by FLiP (Yorinuki Gintama-san eps 40-51)']","['#01: ""Fuusen Gum"" by Captain Straydum (eps 1-13)', '#02: ""MR.RAINDROP"" by amplified (eps 14-24)', '#03: ""Yuki no Tsubasa"" by redballoon (eps 25-37)', '#04: ""Candy Line"" by Hitomi Takahashi (eps 38-49)', '#05: ""Shura"" by DOES (eps 50-62)', '#06: ""Kiseki"" by Snowkel (eps 63-75)', '#07: ""SIGNAL"" by KELUN (eps 76-87)', '#08: ""Speed of Flow"" by The Rodeo Carburettor (eps 88-99)', '#09: ""Sanagi"" by POSSIBILITY (eps 100-112)', '#10: ""This World is yours"" by plingmin (eps 113-125)', '#11: ""Ai, Ai, Ai"" by GHOSTNOTE (eps 126-138)', '#12: ""Kagayaita"" by SHIGI (eps 139-150)', '#13: ""Asa Answer"" by PENGIN (eps 151-163)', '#14: ""Wo Ai Ni"" by Hitomi Takahashi feat. Beat Crusaders (eps 164-176)', '#15: ""Wonderful Days"" by ONE☆DRAFT (eps 177-189)', '#16: ""SAYONARA no Sora"" by Qwai (eps 190-201)', '#R1: ""Bokutachi no Kisetsu"" by DOES (Yorinuki Gintama-san eps 1-9)', '#R2: ""Wave"" by Vijandeux (Yorinuki Gintama-san eps 10-26)', '#R3: ""In My Life"" by AZU (Yorinuki Gintama-san eps 27-39)', '#R4: ""Sakurane"" by Piko (Yorinuki Gintama-san eps 40-51)']"
6572,28851,Koe no Katachi,A Silent Voice,聲の形,"The Shape of Voice, A Silent Voice: The Movie",https://myanimelist.cdn-dena.com/images/anime/3/80136.jpg,Movie,Manga,1,Finished Airing,False,"Sep 17, 2016","{'from': '2016-09-17', 'to': '2016-09-17'}",2 hr. 10 min.,PG-13 - Teens 13 or older,9.04,296261,12.0,77,511915,19815,,,,"{'Adaptation': [{'mal_id': 56805, 'type': 'manga', 'url': 'https://myanimelist.net/manga/56805/Koe_no_Katachi', 'title': 'Koe no Katachi'}], 'Other': [{'mal_id': 35565, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35565/Speed_of_Youth', 'title': 'Speed of Youth'}, {'mal_id': 35566, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35566/Koi_wo_Shita_no_wa', 'title': 'Koi wo Shita no wa'}]}","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras",NYAV Post,Kyoto Animation,"Drama, School, Shounen","['""My Generation (マイ・ジェネレーション)"" by The Who']","['""Koi wo Shita no wa (恋をしたのは)"" by aiko']"
6577,2236,Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,時をかける少女,"Toki wo Kakeru Shojo, TokiKake, Toki o Kakeru Shojo, The Girl Who Cut Time, The Little Girl Who Conquered Time",https://myanimelist.cdn-dena.com/images/anime/1/2432.jpg,Movie,Novel,1,Finished Airing,False,"Jul 15, 2006","{'from': '2006-07-15', 'to': '2006-07-15'}",1 hr. 38 min.,PG - Children,8.35,249571,194.0,113,411479,4395,"&ldquo;Toki wo Kakeru Shojo&rdquo; is a juvenile novel written by Tsutsui Yasutaka. It became TV drama, movie, and Manga several times. However, this is the first time to become anime. The main character, Konno Makoto, is brighter and more easygoing than any other characters in movie or TV drama made before. At once she knows she acquires the power of &ldquo;time leap&rdquo;. She uses it without hesitation to satisfy her own desire.In 2006 the film won the Best Animated Film in the Sitges Film Festival. In 2007 it won the Animation of the Year during the Japan Academy Prize. Also during the Tokyo Anime Awards it won the Animation of the Year and the Best Original Story/Work. The staff that worked for the film won the Director Award, the Script-writing Award, the Achievement in Art Direction and the Character Design Award. It won the Animation Grand Award, given to the year&#039;s most entertaining animated film, at the prestigious sixty-first Annual Mainichi Film Awards. It received the Grand Prize in the animation division at the 2006 Japan Media Arts Festival. The film won the Special Distinction for Feature Film at France&#039;s thirty-first Annecy International Animated Film Festival on June 16, 2007.",,,"{'Adaptation': [{'mal_id': 4171, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4171/Toki_wo_Kakeru_Shoujo', 'title': 'Toki wo Kakeru Shoujo'}, {'mal_id': 9256, 'type': 'manga', 'url': 'https://myanimelist.net/manga/9256/Toki_wo_Kakeru_Shoujo__Tokikake', 'title': 'Toki wo Kakeru Shoujo: Tokikake'}]}","Kadokawa Shoten, Bandai, Memory-Tech, Happinet Pictures","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Madhouse,"Sci-Fi, Adventure, Drama, Romance","['""夏空～オープニング・テーマ～ (Summer Sky ~ Opening Theme~)"" by Kiyoshi Yoshida']","['""Garnet (ガーネット)"" by Oku Hanako']"
6615,35247,Owarimonogatari 2nd Season,Owarimonogatari Second Season,終物語,End Story 2nd Season,https://myanimelist.cdn-dena.com/images/anime/6/87322.jpg,TV,Light novel,7,Finished Airing,False,"Aug 12, 2017 to Aug 13, 2017","{'from': '2017-08-12', 'to': '2017-08-13'}",22 min. per ep.,R - 17+ (violence & profanity),9.02,42842,13.0,762,113928,2432,,Summer 2017,Not scheduled once per week,"{'Adaptation': [{'mal_id': 44227, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season', 'title': 'Monogatari Series: Final Season'}], 'Prequel': [{'mal_id': 31181, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31181/Owarimonogatari', 'title': 'Owarimonogatari'}, {'mal_id': 32268, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32268/Koyomimonogatari', 'title': 'Koyomimonogatari'}], 'Summary': [{'mal_id': 36796, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36796/Owarimonogatari_2nd_Season_Recaps', 'title': 'Owarimonogatari 2nd Season Recaps'}], 'Sequel': [{'mal_id': 36999, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36999/Zoku_Owarimonogatari', 'title': 'Zoku Owarimonogatari'}]}","Aniplex, Kodansha",Aniplex of America,Shaft,"Comedy, Mystery, Supernatural, Vampire","['#1: ""terminal terminal"" by Mayoi Hachikuji (Emiri Katou) (TV: ep 1, BD/DVD: eps 1-2)', '#2: ""dreamy date drive"" by Hitagi Senjougahara (Chiwa Saito) (BD/DVD: eps 3-4)', '#3: ""dark cherry mystery"" by Ougi Oshino (Kaori Mizuhashi) (TV: ep 5, BD/DVD: eps 5-7)']","['""SHIORI"" by ClariS']"
6687,10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,Magical Girl Lyrical Nanoha: The Movie 2nd A&#039;s,魔法少女リリカルなのは The MOVIE 2nd A&#039;s,,https://myanimelist.cdn-dena.com/images/anime/13/35733.jpg,Movie,Unknown,1,Finished Airing,False,"Jul 14, 2012","{'from': '2012-07-14', 'to': '2012-07-14'}",2 hr. 30 min.,R+ - Mild Nudity,8.28,7399,257.0,2956,16286,170,,,,"{'Adaptation': [{'mal_id': 50595, 'type': 'manga', 'url': 'https://myanimelist.net/manga/50595/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_2nd_As_-_Tribute_Comics', 'title': 'Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s - Tribute Comics'}], 'Alternative version': [{'mal_id': 77, 'type': 'anime', 'url': 'https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As', 'title': 'Mahou Shoujo Lyrical Nanoha A&#039;s'}], 'Prequel': [{'mal_id': 4985, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4985/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_1st', 'title': 'Mahou Shoujo Lyrical Nanoha: The Movie 1st'}], 'Sequel': [{'mal_id': 17947, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17947/Mahou_Shoujo_Lyrical_Nanoha__Reflection', 'title': 'Mahou Shoujo Lyrical Nanoha: Reflection'}]}",Good Smile Company,,Seven Arcs,"Action, Comedy, Super Power, Drama, Magic",[],"['#1: ""Hohoemi no Plumage"" by Tamura Yukari', '#2: ""BRIGHT STREAM"" by Nana Mizuki']"
6697,10049,Nurarihyon no Mago: Sennen Makyou,Nura: Rise of the Yokai Clan - Demon Capital,ぬらりひょんの孫 千年魔京,"Nurarihyon no Mago 2, The Grandson of Nurarihyon 2, Grandchild of Nurarihyon 2",https://myanimelist.cdn-dena.com/images/anime/5/77300.jpg,TV,Manga,24,Finished Airing,False,"Jul 3, 2011 to Dec 18, 2011","{'from': '2011-07-03', 'to': '2011-12-18'}",23 min. per ep.,PG-13 - Teens 13 or older,8.11,51862,425.0,886,98240,542,"VIZ Media released the TV broadcast version of Nurarihyon no Mago: Sennen Makyou on Blu-ray and DVD in North America. They later explained this was the version the Japanese licensors provided them with, and it wasn&#039;t possible to obtain the uncut home video version.",Summer 2011,Unknown,"{'Adaptation': [{'mal_id': 5664, 'type': 'manga', 'url': 'https://myanimelist.net/manga/5664/Nurarihyon_no_Mago', 'title': 'Nurarihyon no Mago'}], 'Prequel': [{'mal_id': 7592, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7592/Nurarihyon_no_Mago', 'title': 'Nurarihyon no Mago'}], 'Summary': [{'mal_id': 11083, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11083/Nurarihyon_no_Mago__Sennen_Makyou_Recaps', 'title': 'Nurarihyon no Mago: Sennen Makyou Recaps'}], 'Other': [{'mal_id': 15959, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15959/Nurarihyon_no_Mago_OVA', 'title': 'Nurarihyon no Mago OVA'}]}","Yomiuri Telecasting, Yomiko Advertising, Pony Canyon, Toho, Shueisha, BS11",Viz Media,Studio Deen,"Action, Demons, Shounen, Supernatural","['#1: ""Hoshi no Arika (星の在処。－ホシノアリカ－)"" by LM.C (eps 1-12)', '#2: ""The LOVE SONG"" by LM.C (eps 13-24)']","['#1: ""Orange Smile"" by Katate☆SIZE (eps 1-12)', '#2: ""Departure"" by Katate☆SIZE (eps 13-23)']"
6707,33206,Kobayashi-san Chi no Maid Dragon,Miss Kobayashi&#039;s Dragon Maid,小林さんちのメイドラゴン,The maid dragon of Kobayashi-san,https://myanimelist.cdn-dena.com/images/anime/5/85434.jpg,TV,Manga,13,Finished Airing,False,"Jan 12, 2017 to Apr 6, 2017","{'from': '2017-01-12', 'to': '2017-04-06'}",24 min. per ep.,PG-13 - Teens 13 or older,8.19,196412,326.0,158,345552,6098,,Winter 2017,Thursdays at 00:00 (JST),"{'Adaptation': [{'mal_id': 80119, 'type': 'manga', 'url': 'https://myanimelist.net/manga/80119/Kobayashi-san_Chi_no_Maid_Dragon', 'title': 'Kobayashi-san Chi no Maid Dragon'}], 'Other': [{'mal_id': 35145, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35145/Kobayashi-san_Chi_no_Maid_Dragon_Specials', 'title': 'Kobayashi-san Chi no Maid Dragon Specials'}], 'Sequel': [{'mal_id': 35363, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35363/Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai', 'title': 'Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai'}]}","Lantis, Pony Canyon, ABC Animation",Funimation,Kyoto Animation,"Slice of Life, Comedy, Fantasy","['""Aozora no Rhapsody (青空のラプソディ)"" by fhána']","['""Ishukan Communication (イシュカン・コミュニケーション)"" by Chorogonzu (ちょろゴンず) [Tooru (Yuuki Kuwahara), Kanna (Maria Naganawa), Elma (Yuuki Takada) & Lucoa (Minami Takahashi)] (eps 2-12)']"
6731,33354,Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card,カードキャプターさくら クリアカード編,Cardcaptor Sakura: Clear Card Arc,https://myanimelist.cdn-dena.com/images/anime/1467/90338.jpg,TV,Manga,22,Currently Airing,True,"Jan 7, 2018 to ?","{'from': '2018-01-07', 'to': None}",25 min. per ep.,PG - Children,8.23,11205,284.0,1380,58006,1523,,Winter 2018,Sundays at 07:30 (JST),"{'Adaptation': [{'mal_id': 98374, 'type': 'manga', 'url': 'https://myanimelist.net/manga/98374/Cardcaptor_Sakura__Clear_Card-hen', 'title': 'Cardcaptor Sakura: Clear Card-hen'}], 'Prequel': [{'mal_id': 35320, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35320/Cardcaptor_Sakura__Clear_Card-hen_Prologue_-_Sakura_to_Futatsu_no_Kuma', 'title': 'Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma'}], 'Summary': [{'mal_id': 37595, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37595/Cardcaptor_Sakura__Clear_Card-hen_Recap', 'title': 'Cardcaptor Sakura: Clear Card-hen Recap'}]}","NHK, Kodansha, NHK Enterprises",Funimation,Madhouse,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo","['#1: ""CLEAR"" by Maaya Sakamoto', '#2: ""Rocket Beat (ロケットビート)"" by Kiyono Yasuno']","['#1: ""Jewelry"" by Saori Hayami', '#2: ""Rewind (リワインド)"" by Minori Suzuki']"
6754,30503,Noragami Aragoto,Noragami Aragoto,ノラガミ ARAGOTO,,https://myanimelist.cdn-dena.com/images/anime/4/75627.jpg,TV,Manga,13,Finished Airing,False,"Oct 3, 2015 to Dec 26, 2015","{'from': '2015-10-03', 'to': '2015-12-26'}",24 min. per ep.,PG-13 - Teens 13 or older,8.41,324545,164.0,66,545009,7040,,Fall 2015,Saturdays at 01:05 (JST),"{'Adaptation': [{'mal_id': 24692, 'type': 'manga', 'url': 'https://myanimelist.net/manga/24692/Noragami', 'title': 'Noragami'}], 'Prequel': [{'mal_id': 20507, 'type': 'anime', 'url': 'https://myanimelist.net/anime/20507/Noragami', 'title': 'Noragami'}], 'Side story': [{'mal_id': 30885, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30885/Noragami_Aragoto_OVA', 'title': 'Noragami Aragoto OVA'}], 'Other': [{'mal_id': 32468, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32468/Nirvana', 'title': 'Nirvana'}]}","Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch",Funimation,Bones,"Action, Adventure, Comedy, Supernatural, Shounen","['""Kyouran Hey Kids!! (狂乱Hey Kids!!)"" by THE ORAL CIGARETTES']","['""Nirvana (ニルバナ)"" by Tia']"
6817,31339,Drifters,Drifters,DRIFTERS,Drifters: Battle in a Brand-new World War,https://myanimelist.cdn-dena.com/images/anime/10/80271.jpg,TV,Manga,12,Finished Airing,False,"Oct 7, 2016 to Dec 23, 2016","{'from': '2016-10-07', 'to': '2016-12-23'}",23 min. per ep.,R - 17+ (violence & profanity),8.05,116902,486.0,290,241830,1825,,Fall 2016,Fridays at 23:00 (JST),"{'Adaptation': [{'mal_id': 13801, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13801/Drifters', 'title': 'Drifters'}], 'Alternative version': [{'mal_id': 33032, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33032/Drifters__Special_Edition', 'title': 'Drifters: Special Edition'}], 'Sequel': [{'mal_id': 36480, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36480/Drifters_OVA', 'title': 'Drifters (OVA)'}], 'Other': [{'mal_id': 37034, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37034/Drifters__Kokuou-sama_Goranshin', 'title': 'Drifters: Kokuou-sama Goranshin'}, {'mal_id': 37046, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin', 'title': 'Drifters (OVA): Kokuou-sama Goranshin'}]}","Hoods Entertainment, NBCUniversal Entertainment Japan, Shounen Gahousha",Funimation,Hoods Drifters Studio,"Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen","['""Gospel Of The Throttle 狂奔REMIX ver."" by Minutes Til Midnight']","['#1 ""Vermillion"" by Maon Kurosaki (ep 1-11)', '#2 ""Rurou no Zakuro"" by Yasushi Ishii (ep 12)']"
6858,2448,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,攻殻機動隊 S.A.C. 2nd GIG Individual Eleven,"Ghost in the Shell: SAC 2nd GIG Movie, Koukaku Kidoutai S.A.C. 2nd GIG Individual Eleven",https://myanimelist.cdn-dena.com/images/anime/5/2829.jpg,Special,Unknown,1,Finished Airing,False,"Jan 27, 2006","{'from': '2006-01-27', 'to': '2006-01-27'}",2 hr. 41 min.,R - 17+ (violence & profanity),8.09,7880,445.0,2632,20636,38,,,,"{'Full story': [{'mal_id': 801, 'type': 'anime', 'url': 'https://myanimelist.net/anime/801/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG', 'title': 'Ghost in the Shell: Stand Alone Complex 2nd GIG'}], 'Prequel': [{'mal_id': 2449, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2449/Ghost_in_the_Shell__Stand_Alone_Complex_-_The_Laughing_Man', 'title': 'Ghost in the Shell: Stand Alone Complex - The Laughing Man'}], 'Side story': [{'mal_id': 10948, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10948/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven_-_Tachikoma_no_Hibi', 'title': 'Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma no Hibi'}]}","Bandai Visual, Tokuma Shoten","Bandai Entertainment, Manga Entertainment",Production I.G,"Action, Mecha, Sci-Fi",[],"['""Christmas in the silent forest"" by Ilaria Graziano']"
6859,33352,Violet Evergarden,Violet Evergarden,ヴァイオレット・エヴァーガーデン,,https://myanimelist.cdn-dena.com/images/anime/1329/90618.jpg,TV,Light novel,13,Finished Airing,False,"Jan 11, 2018 to Apr 5, 2018","{'from': '2018-01-11', 'to': '2018-04-05'}",23 min. per ep.,PG-13 - Teens 13 or older,8.59,111769,73.0,157,346230,6071,,Winter 2018,Thursdays at 00:00 (JST),"{'Adaptation': [{'mal_id': 98930, 'type': 'manga', 'url': 'https://myanimelist.net/manga/98930/Violet_Evergarden', 'title': 'Violet Evergarden'}], 'Sequel': [{'mal_id': 37095, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37095/Violet_Evergarden_Special', 'title': 'Violet Evergarden Special'}]}","Lantis, Pony Canyon, Rakuonsha, ABC Animation",,Kyoto Animation,"Slice of Life, Drama, Fantasy","['""Sincerely"" by TRUE']","['#1: ""Michishirube (みちしるべ)"" by Minori Chihara (eps 2-8)', '#2: ""Believe in..."" by Aira Yuuki (ep 9)']"
6910,36106,Shingeki no Kyojin: Lost Girls,Attack on Titan: Lost Girls,進撃の巨人 LOST GIRLS,,https://myanimelist.cdn-dena.com/images/anime/3/89417.jpg,OVA,Novel,3,Currently Airing,True,"Dec 8, 2017 to Aug 9, 2018","{'from': '2017-12-08', 'to': '2018-08-09'}",25 min. per ep.,R - 17+ (violence & profanity),8.15,8292,364.0,1210,67254,118,,,,"{'Adaptation': [{'mal_id': 82799, 'type': 'manga', 'url': 'https://myanimelist.net/manga/82799/Shingeki_no_Kyojin__Lost_Girls', 'title': 'Shingeki no Kyojin: Lost Girls'}], 'Parent story': [{'mal_id': 16498, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16498/Shingeki_no_Kyojin', 'title': 'Shingeki no Kyojin'}]}",,,Wit Studio,"Action, Drama, Fantasy, Horror, Supernatural",[],"['""Call your name <Gv>"" by SawanoHiroyuki[nZk]:Gemie']"
6936,31173,Akagami no Shirayuki-hime 2nd Season,Snow White with the Red Hair 2,赤髪の白雪姫,Akagami no Shirayukihime 2nd Season,https://myanimelist.cdn-dena.com/images/anime/12/77834.jpg,TV,Manga,12,Finished Airing,False,"Jan 12, 2016 to Mar 29, 2016","{'from': '2016-01-12', 'to': '2016-03-29'}",24 min. per ep.,PG-13 - Teens 13 or older,8.13,73814,391.0,602,138158,1001,,Winter 2016,Tuesdays at 00:00 (JST),"{'Adaptation': [{'mal_id': 4571, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4571/Akagami_no_Shirayuki-hime', 'title': 'Akagami no Shirayuki-hime'}], 'Prequel': [{'mal_id': 30123, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime', 'title': 'Akagami no Shirayuki-hime'}], 'Side story': [{'mal_id': 31483, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31483/Akagami_no_Shirayuki-hime__Nandemonai_Takaramono_Kono_Page', 'title': 'Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page'}]}","Hakusensha, Warner Bros., KlockWorx, Showgate",Funimation,Bones,"Drama, Romance, Fantasy, Shoujo","['""Sono Koe ga Chizu ni Naru (その声が地図になる)"" by Saori Hayami']","['#1: ""Page ~Kimi to Tsuzuru Monogatari~ (ページ～君と綴る物語～)"" by eyelis (eps 1-11)', '#2: ""Yasashii Kibou (やさしい希望)"" by Saori Hayami (ep 12)']"
